region_name,nodes,edges,edge_node_ratio
05952.de,12,13,1.0833333333333333
angryip.org,18,17,0.9444444444444444
1zjj.com,5,4,0.8
bypasswebfilter.info,15,16,1.0666666666666667
bookseed.com,12,11,0.9166666666666666
abitep.com,14,15,1.0714285714285714
chinaeiga.com,18,17,0.9444444444444444
2pg.com,20,21,1.05
71b1.com,5,4,0.8
agenciadenoticiasdelperu.com,21,20,0.9523809523809523
aerialathletics.com,11,10,0.9090909090909091
aircompressor.eu,12,13,1.0833333333333333
101txt.com,13,14,1.0769230769230769
actors.nu,23,27,1.173913043478261
2cfx.com,12,12,1.0
beat-scuba.com,15,14,0.9333333333333333
cavitechorale.com,15,16,1.0666666666666667
775dh.com,13,12,0.9230769230769231
78tf.com,15,14,0.9333333333333333
bjjrqc.cn,4,4,1.0
artepalineco.com,15,16,1.0666666666666667
archers.fr,12,13,1.0833333333333333
bjjcf.com,7,7,1.0
125th.com,12,13,1.0833333333333333
65909.com,13,12,0.9230769230769231
aroundthelakes.net,10,9,0.9
aikida.com,12,13,1.0833333333333333
aquaforum.net,20,21,1.05
70mmonle.com,13,14,1.0769230769230769
c-56.com,11,11,1.0
batteringram.com,12,13,1.0833333333333333
catherine-elise.net,11,10,0.9090909090909091
churchofbodmod.com,14,15,1.0714285714285714
ceche.com,13,14,1.0769230769230769
centralst.com,15,16,1.0666666666666667
bankschool.com,15,14,0.9333333333333333
39f-mint.com,14,14,1.0
bgir.com,15,16,1.0666666666666667
asiandrops.jp,15,16,1.0666666666666667
3hatsadmin.com,14,13,0.9285714285714286
ash.it,13,15,1.1538461538461537
americasroofwarranty.com,11,11,1.0
alqrnihost.org,20,26,1.3
atjt.com,12,13,1.0833333333333333
apolipoprotein.com,12,13,1.0833333333333333
881.jp,12,13,1.0833333333333333
b7960.cn,5,4,0.8
1vai.it,25,31,1.24
allspice.net,12,13,1.0833333333333333
b1074.cn,5,4,0.8
angelinna.com,15,16,1.0666666666666667
ariyasu.com,13,14,1.0769230769230769
arthurplace.com,22,25,1.1363636363636365
caqueta.com,13,14,1.0769230769230769
blackcod.com,12,13,1.0833333333333333
36rtys.com,16,15,0.9375
assurantie.com,15,16,1.0666666666666667
7460.com,12,13,1.0833333333333333
cashflow365now.com,16,15,0.9375
bluto.net,20,23,1.15
apaza.com,10,9,0.9
bassbait.com,12,13,1.0833333333333333
bewohner.at,15,16,1.0666666666666667
bicsdns.com,21,21,1.0
bernadettemsdeanniesteven.com,15,16,1.0666666666666667
badunkadunk.com,9,8,0.8888888888888888
arrasate.org,12,13,1.0833333333333333
charlesetta.net,20,21,1.05
casinoroyale.net,12,11,0.9166666666666666
aveyron-sorgues.com,18,17,0.9444444444444444
clcf.info,13,12,0.9230769230769231
bttk.com,13,14,1.0769230769230769
bpfr.com,13,14,1.0769230769230769
amdbuilder.net,19,18,0.9473684210526315
cnsina.com,15,16,1.0666666666666667
60ies.de,12,13,1.0833333333333333
canadmin.ca,29,33,1.1379310344827587
bnlx.net,12,13,1.0833333333333333
bbv-sailing.de,13,14,1.0769230769230769
53.com,139,147,1.0575539568345325
ciudadcaborojo.com,12,11,0.9166666666666666
canalli.com,17,16,0.9411764705882353
albamoda.de,38,38,1.0
calivan.net,14,15,1.0714285714285714
anpicavriago.org,16,15,0.9375
2au.de,12,13,1.0833333333333333
avp3d.de,17,16,0.9411764705882353
apexcollege.org,13,12,0.9230769230769231
a-zwebsites.com,19,18,0.9473684210526315
cdreader.com,14,13,0.9285714285714286
alisil.com,12,13,1.0833333333333333
9959.net,15,14,0.9333333333333333
bmeij.com,5,4,0.8
bksoft.com,11,10,0.9090909090909091
1088.ca,13,12,0.9230769230769231
carrotpatch.com,12,13,1.0833333333333333
bahala.net,12,13,1.0833333333333333
bollardsnsleeves.com,22,26,1.1818181818181819
borinage.net,13,14,1.0769230769230769
029tsd.com,11,10,0.9090909090909091
bient.com,13,14,1.0769230769230769
cinemaspot.de,12,13,1.0833333333333333
4stroke.net,12,13,1.0833333333333333
achievementart.com,11,10,0.9090909090909091
bh2net.com,13,12,0.9230769230769231
